time	V(vout1)	V(u1:n_state)	V(u1:r_hs)	V(u1:tsub)	V(u1:ttherm)	I(u1:B_ir)	I(u1:B_isw)	I(u1:B_ph)	abs(I(u1:L_kinetic))
2.000019757289058e-009	1.174309e-005	1.000000e+000	4.636137e-002	3.445896e+000	4.458964e-001	2.424774e-006	7.586957e-006	9.516283e-006	7.782569e-006
2.000020500000000e-009	1.178196e-005	1.000000e+000	5.129473e-002	3.445896e+000	4.458963e-001	2.424545e-006	7.585898e-006	2.314646e-006	7.782181e-006
2.000021203546631e-009	1.178196e-005	1.000000e+000	5.596803e-002	3.445896e+000	4.458961e-001	2.424545e-006	7.585898e-006	3.244463e-016	7.782181e-006
2.004802573141126e-009	1.206799e-005	1.000000e+000	3.182819e+001	3.450188e+000	4.501878e-001	2.423823e-006	7.582731e-006	1.789785e-016	7.779320e-006
2.009583942735621e-009	1.287895e-005	1.000000e+000	6.358330e+001	3.461886e+000	4.618857e-001	2.421813e-006	7.573409e-006	6.655014e-017	7.771211e-006
2.014365312330116e-009	1.421482e-005	1.000000e+000	9.532128e+001	3.480990e+000	4.809901e-001	2.418515e-006	7.557934e-006	-1.283876e-017	7.757852e-006
2.019146681924610e-009	1.607562e-005	1.000000e+000	1.270421e+002	3.507501e+000	5.075007e-001	2.413929e-006	7.536304e-006	-5.918823e-017	7.739244e-006
2.023928051519106e-009	1.846134e-005	1.000000e+000	1.587459e+002	3.541418e+000	5.414178e-001	2.408054e-006	7.508521e-006	-7.249826e-017	7.715387e-006
2.028709421113600e-009	2.137198e-005	1.000000e+000	1.904325e+002	3.582741e+000	5.827412e-001	2.400892e-006	7.474583e-006	-5.276885e-017	7.686280e-006
2.033490790708095e-009	2.480754e-005	1.000000e+000	2.221020e+002	3.631471e+000	6.314709e-001	2.392441e-006	7.434491e-006	0.000000e+000	7.651925e-006
2.037541796503591e-009	2.806261e-005	1.000000e+000	2.488915e+002	3.676075e+000	6.760753e-001	2.384660e-006	7.397074e-006	0.000000e+000	7.619374e-006
2.042585314000201e-009	3.263912e-005	1.000000e+000	2.822297e+002	3.738264e+000	7.382643e-001	2.373792e-006	7.344508e-006	0.000000e+000	7.573609e-006
2.047628831496811e-009	3.763206e-005	1.000000e+000	3.154748e+002	3.803400e+000	8.034003e-001	2.362331e-006	7.288364e-006	0.000000e+000	7.523679e-006
2.052672348993420e-009	4.304145e-005	1.000000e+000	3.486267e+002	3.871484e+000	8.714835e-001	2.350277e-006	7.228642e-006	0.000000e+000	7.469585e-006
2.057715866490029e-009	4.886727e-005	1.000000e+000	3.816855e+002	3.942514e+000	9.425136e-001	2.337632e-006	7.165342e-006	0.000000e+000	7.411327e-006
2.062759383986639e-009	5.510952e-005	1.000000e+000	4.146510e+002	4.016491e+000	1.016491e+000	2.324394e-006	7.098464e-006	0.000000e+000	7.348905e-006
2.067802901483249e-009	6.176822e-005	1.000000e+000	4.475234e+002	4.093415e+000	1.093415e+000	2.310563e-006	7.028007e-006	0.000000e+000	7.282318e-006
2.072846418979858e-009	6.884335e-005	1.000000e+000	4.803026e+002	4.173286e+000	1.173287e+000	2.296141e-006	6.953972e-006	0.000000e+000	7.211567e-006
2.078936025165645e-009	7.783416e-005	1.000000e+000	5.197189e+002	4.270230e+000	1.270230e+000	2.278479e-006	6.862009e-006	0.000000e+000	7.121658e-006
2.085025631351432e-009	8.714831e-005	1.000000e+000	5.588346e+002	4.366326e+000	1.366326e+000	2.260836e-006	6.769368e-006	0.000000e+000	7.028517e-006
2.091115237537220e-009	9.678579e-005	1.000000e+000	5.976496e+002	4.461576e+000	1.461575e+000	2.243214e-006	6.676050e-006	0.000000e+000	6.932142e-006
2.097204843723006e-009	1.067466e-004	1.000000e+000	6.361639e+002	4.555978e+000	1.555978e+000	2.225611e-006	6.582055e-006	0.000000e+000	6.832534e-006
2.103294449908793e-009	1.170308e-004	1.000000e+000	6.743776e+002	4.649533e+000	1.649533e+000	2.208028e-006	6.487383e-006	0.000000e+000	6.729692e-006
2.109384056094580e-009	1.276382e-004	1.000000e+000	7.122906e+002	4.742241e+000	1.742241e+000	2.190464e-006	6.392034e-006	0.000000e+000	6.623618e-006
2.115473662280368e-009	1.385691e-004	1.000000e+000	7.499030e+002	4.834102e+000	1.834102e+000	2.172920e-006	6.296008e-006	0.000000e+000	6.514309e-006
2.115544057844814e-009	1.386956e-004	1.000000e+000	7.503347e+002	4.835139e+000	1.835139e+000	2.172721e-006	6.294918e-006	0.000000e+000	6.513044e-006
2.125561158757868e-009	1.571443e-004	1.000000e+000	8.114835e+002	4.980365e+000	1.980365e+000	2.144588e-006	6.139408e-006	0.000000e+000	6.328557e-006
2.135578259670922e-009	1.758089e-004	1.000000e+000	8.711823e+002	5.118430e+000	2.118430e+000	2.117594e-006	5.989760e-006	0.000000e+000	6.141911e-006
2.145595360583976e-009	1.946892e-004	1.000000e+000	9.294314e+002	5.249335e+000	2.249335e+000	2.091740e-006	5.845972e-006	0.000000e+000	5.953108e-006
2.155612461497030e-009	2.137853e-004	1.000000e+000	9.862306e+002	5.373079e+000	2.373078e+000	2.067025e-006	5.708044e-006	0.000000e+000	5.762147e-006
2.165629562410084e-009	2.330971e-004	1.000000e+000	1.041580e+003	5.489662e+000	2.489661e+000	2.043450e-006	5.575978e-006	0.000000e+000	5.569029e-006
2.175646663323137e-009	2.526247e-004	1.000000e+000	1.095479e+003	5.599084e+000	2.599084e+000	2.021015e-006	5.449772e-006	0.000000e+000	5.373753e-006
2.185663764236191e-009	2.723681e-004	1.000000e+000	1.147929e+003	5.701345e+000	2.701345e+000	1.999720e-006	5.329427e-006	0.000000e+000	5.176319e-006
2.185730925856606e-009	2.724996e-004	1.000000e+000	1.148273e+003	5.702005e+000	2.702005e+000	1.999582e-006	5.328653e-006	0.000000e+000	5.175004e-006
2.195515779764647e-009	2.917355e-004	1.000000e+000	1.197710e+003	5.794151e+000	2.794151e+000	1.980215e-006	5.219670e-006	0.000000e+000	4.982645e-006
2.205300633672688e-009	3.108925e-004	1.000000e+000	1.245136e+003	5.880166e+000	2.880166e+000	1.962035e-006	5.117487e-006	0.000000e+000	4.791075e-006
2.215085487580729e-009	3.299705e-004	1.000000e+000	1.290551e+003	5.960050e+000	2.960051e+000	1.945042e-006	5.022104e-006	0.000000e+000	4.600295e-006
